#####################################################################
# Alchemist log file - simulation started at: 2020-02-10T16:31+0000 #
#####################################################################
# seed = 37.0, taskFrequency = 0.01778, cloudcost = 1.0, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
2.0127361273634357 NaN 3.0 6.0 0.0 0.0 0.0 
4.012736127363436 NaN 13.0 13.0 0.0 0.0 0.0 
6.012736127363436 NaN 16.0 17.0 0.0 0.0 0.0 
8.012736127363436 NaN 22.0 23.0 0.0 0.0 0.0 
10.012736127363436 NaN 25.0 26.0 0.0 0.0 0.0 
12.012736127363436 NaN 29.0 29.0 0.0 0.0 0.0 
14.012736127363436 NaN 30.0 31.0 0.0 0.0 0.0 
16.012736127363436 NaN 32.0 32.0 0.0 0.0 0.0 
18.012736127363436 NaN 35.0 35.0 0.0 0.0 0.0 
20.012736127363436 NaN 37.0 37.0 0.0 0.0 0.0 
22.012736127363436 NaN 41.0 41.0 0.0 0.0 0.0 
24.012736127363436 NaN 44.0 44.0 0.0 0.0 0.0 
26.012736127363436 NaN 44.0 45.0 0.0 0.0 0.0 
28.012736127363436 NaN 45.0 45.0 0.0 0.0 0.0 
30.012736127363436 NaN 47.0 47.0 0.0 0.0 0.0 
32.010807577301364 NaN 48.0 49.0 0.0 0.0 0.0 
34.01273612736344 NaN 49.0 51.0 0.0 0.0 0.0 
36.01273612736344 NaN 51.0 51.0 0.0 0.0 0.0 
38.01273612736344 NaN 51.0 51.0 0.0 0.0 0.0 
40.01273612736344 NaN 56.0 56.0 0.0 0.0 0.0 
42.01273612736344 NaN 56.0 58.0 0.0 0.0 0.0 
44.01273612736344 NaN 58.0 59.0 0.0 0.0 0.0 
46.01273612736344 NaN 60.0 60.0 0.0 0.0 0.0 
48.01273612736344 NaN 61.0 62.0 0.0 0.0 0.0 
50.01273612736344 NaN 62.0 62.0 0.0 0.0 0.0 
52.01273612736344 NaN 63.0 63.0 0.0 0.0 0.0 
54.01273612736344 NaN 66.0 66.0 0.0 0.0 0.0 
56.01273612736344 NaN 68.0 69.0 0.0 0.0 0.0 
58.01273612736344 NaN 72.0 74.0 0.0 0.0 0.0 
60.01273612736344 NaN 76.0 77.0 0.0 0.0 0.0 
62.01273612736344 NaN 79.0 79.0 0.0 0.0 0.0 
64.01273612736344 NaN 79.0 79.0 0.0 0.0 0.0 
66.01273612736344 NaN 79.0 79.0 0.0 0.0 0.0 
68.01273612736344 NaN 79.0 79.0 0.0 0.0 0.0 
70.01273612736344 NaN 80.0 81.0 0.0 0.0 0.0 
72.01273612736344 NaN 83.0 83.0 0.0 0.0 0.0 
74.01273612736344 NaN 85.0 85.0 0.0 0.0 0.0 
76.01273612736344 NaN 85.0 85.0 0.0 0.0 0.0 
78.01201658337718 NaN 86.0 89.0 0.0 0.0 0.0 
80.01273612736344 NaN 89.0 89.0 0.0 0.0 0.0 
82.01273612736344 NaN 90.0 91.0 0.0 0.0 0.0 
84.01273612736344 NaN 94.0 94.0 0.0 0.0 0.0 
86.01273612736344 NaN 95.0 96.0 0.0 0.0 0.0 
88.01273612736344 NaN 96.0 96.0 0.0 0.0 0.0 
90.01273612736344 NaN 98.0 98.0 0.0 0.0 0.0 
92.01273612736344 NaN 99.0 99.0 0.0 0.0 0.0 
94.01273612736344 NaN 99.0 99.0 0.0 0.0 0.0 
