#####################################################################
# Alchemist log file - simulation started at: 2020-01-29T07:37+0000 #
#####################################################################
# seed = 36.0, taskFrequency = 0.0075, cloudcost = 2.0, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
2.0074137702223243 NaN 0.0 1.0 0.0 0.0 0.0 
4.007413770222325 NaN 2.0 2.0 0.0 0.0 0.0 
6.007413770222325 NaN 2.0 3.0 0.0 0.0 0.0 
8.007413770222325 NaN 3.0 5.0 0.0 0.0 0.0 
10.007413770222325 NaN 6.0 7.0 0.0 0.0 0.0 
12.007413770222325 NaN 10.0 10.0 0.0 0.0 0.0 
14.007413770222325 NaN 13.0 13.0 0.0 0.0 0.0 
16.007413770222325 NaN 14.0 14.0 0.0 0.0 0.0 
18.007413770222325 NaN 15.0 15.0 0.0 0.0 0.0 
20.007413770222325 NaN 18.0 19.0 0.0 0.0 0.0 
22.007413770222325 NaN 21.0 21.0 0.0 0.0 0.0 
24.007413770222325 NaN 22.0 22.0 0.0 0.0 0.0 
26.007413770222325 NaN 23.0 23.0 0.0 0.0 0.0 
28.007413770222325 NaN 24.0 24.0 0.0 0.0 0.0 
30.007413770222325 NaN 24.0 24.0 0.0 0.0 0.0 
32.00741377022233 NaN 25.0 25.0 0.0 0.0 0.0 
34.00741377022233 NaN 25.0 26.0 0.0 0.0 0.0 
36.00741377022233 NaN 26.0 27.0 0.0 0.0 0.0 
38.00741377022233 NaN 28.0 28.0 0.0 0.0 0.0 
40.00741377022233 2.0 28.0 29.0 1.0 0.0 23.0 
42.00741377022233 2.0 29.0 31.0 1.0 0.0 23.0 
44.00507795474963 2.0 31.0 33.0 1.0 0.0 23.0 
46.00741377022233 2.0 32.0 33.0 1.0 0.0 23.0 
48.00741377022233 2.0 32.0 33.0 1.0 0.0 23.0 
50.00741377022233 2.0 32.0 33.0 1.0 0.0 23.0 
52.00741377022233 2.0 33.0 34.0 1.0 0.0 23.0 
54.00741377022233 2.0 33.0 34.0 1.0 0.0 23.0 
56.00741377022233 2.0 34.0 35.0 1.0 0.0 23.0 
58.00741377022233 2.0 37.0 38.0 1.0 0.0 23.0 
60.00741377022233 2.0 37.0 38.0 1.0 0.0 23.0 
62.00741377022233 2.0 37.0 38.0 1.0 0.0 23.0 
64.00741377022233 2.0 39.0 40.0 1.0 0.0 23.0 
66.00741377022233 2.0 40.0 42.0 1.0 0.0 23.0 
68.00741377022233 2.0 42.0 43.0 1.0 0.0 23.0 
70.00741377022233 2.0 43.0 44.0 1.0 0.0 23.0 
72.00741377022233 2.0 43.0 44.0 1.0 0.0 23.0 
74.00741377022233 2.0 45.0 46.0 1.0 0.0 23.0 
76.00741377022233 2.0 46.0 47.0 1.0 0.0 23.0 
78.00741377022233 2.0 47.0 50.0 1.0 0.0 23.0 
80.00741377022233 2.0 50.0 51.0 1.0 0.0 23.0 
82.00741377022233 2.0 51.0 52.0 1.0 0.0 23.0 
84.00741377022233 2.0 51.0 52.0 1.0 0.0 23.0 
86.00741377022233 2.0 53.0 55.0 1.0 0.0 23.0 
88.00741377022233 2.0 55.0 56.0 1.0 0.0 23.0 
90.00741377022233 2.0 56.0 57.0 1.0 0.0 23.0 
92.00741377022233 2.0 58.0 59.0 1.0 0.0 23.0 
94.00741377022233 2.0 58.0 60.0 1.0 0.0 23.0 
96.00741377022233 2.0 60.0 61.0 1.0 0.0 23.0 
98.00741377022233 2.0 60.0 61.0 1.0 0.0 23.0 
100.00741377022233 2.0 60.0 61.0 1.0 0.0 23.0 
102.00741377022233 2.0 60.0 61.0 1.0 0.0 23.0 
104.00741377022233 2.0 61.0 62.0 1.0 0.0 23.0 
106.00741377022233 2.0 63.0 64.0 1.0 0.0 23.0 
108.00741377022233 2.0 63.0 64.0 1.0 0.0 23.0 
110.00741377022233 2.0 63.0 64.0 1.0 0.0 23.0 
112.00741377022233 2.0 63.0 65.0 1.0 2.0 232.0 
114.00741377022233 2.0 62.0 67.0 1.0 4.0 448.0 
116.00741377022233 2.0 61.0 67.0 1.0 6.0 652.0 
118.00741377022233 2.0 62.0 69.0 1.0 6.0 652.0 
120.00741377022233 2.0 62.0 71.0 1.0 7.0 763.0 
122.00741377022233 2.0 62.0 71.0 1.0 9.0 990.0 
124.00741377022233 2.0 61.0 73.0 1.0 13.0 1410.0 
126.00741377022233 2.0 60.0 75.0 1.0 13.0 1410.0 
128.00741377022234 2.0 64.0 78.0 1.0 14.0 1512.0 
130.00741377022234 2.0 63.0 78.0 1.0 14.0 1512.0 
132.00741377022234 2.0 63.0 79.0 1.0 14.0 1512.0 
134.00741377022234 2.0 65.0 80.0 1.0 15.0 1615.0 
136.00741377022234 2.0 64.0 80.0 1.0 15.0 1615.0 
138.00741377022234 2.0 61.0 80.0 1.0 18.0 1971.0 
140.00741377022234 2.0 61.0 81.0 1.0 19.0 2074.0 
142.00741377022234 2.0 61.0 81.0 1.0 20.0 2176.0 
144.00741377022234 2.0 62.0 84.0 1.0 21.0 2278.0 
146.00741377022234 2.0 63.0 86.0 1.0 23.0 2484.0 
148.00741377022234 2.0 61.0 86.0 1.0 24.0 2586.0 
150.00741377022234 2.0 64.0 89.0 1.0 24.0 2586.0 
152.00741377022234 2.0 64.0 89.0 1.0 24.0 2586.0 
154.00741377022234 2.0 65.0 90.0 1.0 25.0 2688.0 
156.00741377022234 2.0 64.0 90.0 1.0 25.0 2688.0 
158.00741377022234 2.0 64.0 90.0 1.0 26.0 2790.0 
160.00741377022234 2.0 62.0 91.0 1.0 29.0 3096.0 
162.00741377022234 2.0 61.0 91.0 1.0 29.0 3096.0 
164.00741377022234 2.0 61.0 91.0 1.0 29.0 3096.0 
166.00741377022234 2.0 61.0 92.0 1.0 31.0 3300.0 
168.00741377022234 2.0 60.0 92.0 1.0 32.0 3403.0 
170.00741377022234 2.0 58.0 93.0 1.0 35.0 3757.0 
172.00741377022234 2.0 57.0 93.0 1.0 36.0 3859.0 
174.00741377022234 2.0 56.0 94.0 1.0 37.0 4014.0 
176.00741377022234 2.0 56.0 95.0 1.0 39.0 4219.0 
178.00741377022234 2.0 55.0 95.0 1.0 40.0 4321.0 
180.00741377022234 2.0 54.0 96.0 1.0 41.0 4489.0 
182.00741377022234 2.0 53.0 96.0 1.0 42.0 4591.0 
184.00741377022234 2.0 54.0 98.0 1.0 43.0 4754.0 
186.00741377022234 2.0 57.0 101.0 1.0 43.0 4754.0 
188.00741377022234 2.0 56.0 101.0 1.0 46.0 5119.0 
190.00741377022234 2.0 54.0 103.0 1.0 47.0 5222.0 
192.00741377022234 2.0 57.0 105.0 1.0 47.0 5222.0 
194.00741377022234 2.0 57.0 106.0 1.0 49.0 5428.0 
196.00741377022234 2.0 57.0 107.0 1.0 49.0 5428.0 
198.00741377022234 2.0 58.0 110.0 1.0 51.0 5634.0 
200.00741377022234 2.0 58.0 110.0 1.0 51.0 5634.0 
202.00741377022234 2.0 59.0 111.0 1.0 51.0 5634.0 
204.00741377022234 2.0 59.0 111.0 1.0 51.0 5634.0 
206.00741377022234 2.0 61.0 113.0 1.0 52.0 5737.0 
208.00741377022234 2.0 59.0 114.0 1.0 54.0 5942.0 
210.00741377022234 2.0 60.0 116.0 1.0 54.0 5942.0 
212.00741377022234 2.0 61.0 116.0 1.0 54.0 5942.0 
214.00741377022234 2.0 61.0 116.0 1.0 55.0 6044.0 
216.00741377022234 2.0 59.0 117.0 1.0 56.0 6146.0 
218.00741377022234 2.0 59.0 117.0 1.0 57.0 6249.0 
220.00741377022234 2.0 58.0 117.0 1.0 60.0 6584.0 
222.00741377022234 2.0 56.0 117.0 1.0 61.0 6686.0 
224.00741377022234 2.0 55.0 119.0 1.0 62.0 6789.0 
226.00741377022234 2.0 56.0 119.0 1.0 64.0 6995.0 
228.00741377022234 2.0 54.0 120.0 1.0 65.0 7097.0 
230.00741377022234 2.0597014925373136 52.0 121.0 1.0 68.0 7405.0 
232.00741377022234 2.0597014925373136 52.0 121.0 1.0 68.0 7405.0 
234.00741377022234 2.0597014925373136 52.0 121.0 1.0 68.0 7405.0 
236.00741377022234 2.0579710144927534 50.0 121.0 1.0 70.0 7610.0 
238.00741377022234 2.0579710144927534 51.0 122.0 1.0 70.0 7610.0 
240.00741377022234 2.0579710144927534 51.0 122.0 1.0 70.0 7610.0 
242.00741377022234 2.057142857142857 51.0 123.0 1.0 71.0 7712.0 
244.00741377022234 2.056338028169014 51.0 123.0 1.0 72.0 7879.0 
246.00741377022234 2.0547945205479454 50.0 123.0 1.0 74.0 8084.0 
248.00741377022234 2.0526315789473686 47.0 124.0 1.0 77.0 8392.0 
250.00741377022234 2.0526315789473686 49.0 127.0 1.0 77.0 8392.0 
252.00741377022234 2.050632911392405 50.0 129.0 1.0 80.0 8700.0 
254.00741377022234 2.050632911392405 49.0 132.0 1.0 80.0 8700.0 
256.00741377022234 2.05 51.0 132.0 1.0 81.0 8803.0 
258.00741377022234 2.05 50.0 132.0 1.0 81.0 8803.0 
260.00741377022234 2.05 51.0 134.0 1.0 81.0 8803.0 
262.00741377022234 2.049382716049383 53.0 135.0 1.0 82.0 8905.0 
264.00741377022234 2.049382716049383 52.0 135.0 1.0 82.0 8905.0 
266.00741377022234 2.048780487804878 51.0 135.0 1.0 83.0 9092.0 
268.00741377022234 2.0481927710843375 52.0 137.0 1.0 84.0 9194.0 
270.00741377022234 2.0481927710843375 53.0 139.0 1.0 84.0 9194.0 
272.00741377022234 2.0476190476190474 55.0 141.0 1.0 85.0 9296.0 
274.00741377022234 2.0476190476190474 55.0 141.0 1.0 85.0 9296.0 
