#####################################################################
# Alchemist log file - simulation started at: 2020-01-14T13:24+0000 #
#####################################################################
# seed = 0.0, taskFrequency = 0.00316, cloudcost = 10.0, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
3.008942564815153 NaN 1.0 1.0 0.0 0.0 0.0 
6.000014811549098 NaN 1.0 1.0 0.0 0.0 0.0 
9.000354430016733 NaN 2.0 2.0 0.0 0.0 0.0 
12.002255709561506 NaN 3.0 6.0 0.0 0.0 0.0 
15.000709026213116 NaN 6.0 6.0 0.0 0.0 0.0 
18.017216476691214 NaN 8.0 8.0 0.0 0.0 0.0 
21.004440158300632 NaN 8.0 8.0 0.0 0.0 0.0 
24.001450471834683 NaN 9.0 9.0 0.0 0.0 0.0 
27.011846252587418 1.0 8.0 9.0 1.0 0.0 15.0 
30.013109020888493 1.0 8.0 10.0 1.0 0.0 15.0 
33.00005109234579 1.0 9.0 11.0 1.0 0.0 15.0 
36.002402707475554 1.5 10.0 12.0 2.0 0.0 34.0 
39.00150077618721 1.5 10.0 12.0 2.0 0.0 34.0 
42.00359508261041 1.5 10.0 13.0 2.0 0.0 34.0 
45.00382006139911 1.5 12.0 16.0 2.0 0.0 34.0 
48.00385987433368 1.5 14.0 16.0 2.0 0.0 34.0 
51.00625987481718 1.5 14.0 16.0 2.0 0.0 34.0 
54.01136741857155 1.5 15.0 17.0 2.0 0.0 34.0 
57.00551362582028 1.5 15.0 17.0 2.0 0.0 34.0 
60.00270861764235 1.5 15.0 17.0 2.0 0.0 34.0 
63.003296701452015 1.5 15.0 17.0 2.0 0.0 34.0 
66.018218985413 1.5 15.0 17.0 2.0 0.0 34.0 
69.00606285424642 1.5 16.0 18.0 2.0 0.0 34.0 
72.00062222457721 1.5 17.0 19.0 2.0 0.0 34.0 
75.00530703323109 1.5 17.0 20.0 2.0 0.0 34.0 
78.00839986726189 1.5 19.0 21.0 2.0 0.0 34.0 
81.00226013518721 1.5 20.0 23.0 2.0 0.0 34.0 
84.01140264949335 1.5 21.0 23.0 2.0 0.0 34.0 
87.00900911065266 1.5 27.0 29.0 2.0 0.0 34.0 
90.0005607664763 1.5 27.0 29.0 2.0 0.0 34.0 
93.00939977572375 1.5 28.0 30.0 2.0 0.0 34.0 
96.01234692459984 1.5 28.0 30.0 2.0 0.0 34.0 
99.00178799699628 1.5 28.0 30.0 2.0 0.0 34.0 
102.00089611006935 1.5 28.0 30.0 2.0 0.0 34.0 
105.00863868879908 1.5 28.0 32.0 2.0 0.0 34.0 
108.0066179915865 1.5 29.0 32.0 2.0 0.0 34.0 
111.02739972893976 1.5 31.0 34.0 2.0 0.0 34.0 
114.00240668833807 5.75 31.0 34.0 2.0 2.0 250.0 
117.00043923812596 5.75 30.0 34.0 2.0 2.0 250.0 
120.01693222661778 5.75 30.0 34.0 2.0 2.0 250.0 
123.01205743920713 6.6 31.0 36.0 2.0 3.0 356.0 
126.03066684213071 6.6 31.0 36.0 2.0 3.0 356.0 
129.0143166469832 6.6 33.0 38.0 2.0 3.0 356.0 
132.0040549491879 6.6 33.0 39.0 2.0 3.0 356.0 
135.00856771797712 6.6 35.0 40.0 2.0 3.0 356.0 
138.00585151083067 7.571428571428571 33.0 40.0 2.0 5.0 577.0 
141.01083651915982 7.875 33.0 40.0 2.0 6.0 706.0 
144.00066578494815 7.875 33.0 41.0 2.0 6.0 706.0 
147.00810873153327 8.454545454545455 31.0 41.0 2.0 9.0 1058.0 
150.01745727931174 8.692307692307692 29.0 41.0 2.0 11.0 1272.0 
153.0181133069302 8.785714285714286 28.0 44.0 2.0 12.0 1378.0 
156.0005629881476 8.785714285714286 31.0 45.0 2.0 12.0 1378.0 
159.00558802962144 8.866666666666667 30.0 45.0 2.0 13.0 1500.0 
162.0000464745139 8.866666666666667 30.0 45.0 2.0 13.0 1500.0 
165.00916037244994 8.866666666666667 31.0 46.0 2.0 13.0 1500.0 
168.00929660658068 8.866666666666667 32.0 47.0 2.0 13.0 1500.0 
171.0051148346379 8.9375 31.0 47.0 2.0 14.0 1661.0 
174.00017438908668 9.5625 30.0 47.0 2.0 15.0 1762.0 
177.00004926457945 9.5625 31.0 48.0 2.0 15.0 1762.0 
180.01399457250085 9.631578947368421 28.0 48.0 2.0 18.0 2078.0 
183.01316431575188 9.631578947368421 30.0 51.0 2.0 18.0 2078.0 
186.00665896965572 9.666666666666666 31.0 52.0 2.0 20.0 2282.0 
189.0069277692665 9.73076923076923 26.0 52.0 2.0 25.0 2798.0 
192.00576336295458 9.74074074074074 25.0 53.0 2.0 26.0 2902.0 
195.0057336997322 9.75 24.0 53.0 2.0 27.0 3003.0 
198.01041091734433 9.75 24.0 54.0 2.0 27.0 3003.0 
201.0317699150354 9.75 25.0 56.0 2.0 27.0 3003.0 
204.00782478261743 9.75 28.0 57.0 2.0 27.0 3003.0 
207.00932115575247 9.482758620689655 30.0 60.0 3.0 27.0 3158.0 
210.0031009696519 9.5 30.0 62.0 3.0 28.0 3261.0 
213.02259809204446 9.516129032258064 31.0 62.0 3.0 29.0 3363.0 
216.004698753055 9.516129032258064 30.0 62.0 3.0 29.0 3363.0 
219.0007631216031 9.516129032258064 30.0 62.0 3.0 29.0 3363.0 
222.0029873715014 9.516129032258064 30.0 62.0 3.0 29.0 3363.0 
225.0009926757028 9.53125 32.0 64.0 3.0 30.0 3464.0 
228.00419506089125 9.545454545454545 31.0 65.0 3.0 31.0 3570.0 
231.0127666259222 9.558823529411764 32.0 66.0 3.0 32.0 3673.0 
234.00418620990484 9.571428571428571 30.0 66.0 3.0 33.0 3778.0 
237.00070538404785 9.583333333333334 29.0 66.0 3.0 34.0 3882.0 
240.01461024656226 9.583333333333334 29.0 66.0 3.0 34.0 3882.0 
243.00026423954165 9.583333333333334 30.0 67.0 3.0 34.0 3882.0 
246.01288274522568 9.594594594594595 30.0 68.0 3.0 35.0 3985.0 
249.00618054725905 9.605263157894736 31.0 70.0 3.0 36.0 4098.0 
252.01274913840578 9.384615384615383 30.0 70.0 4.0 36.0 4143.0 
255.0108880339074 9.414634146341463 31.0 73.0 4.0 38.0 4391.0 
258.0006072046605 9.674418604651162 30.0 76.0 4.0 41.0 4700.0 
261.0001887574451 9.674418604651162 32.0 77.0 4.0 41.0 4700.0 
264.0042196748227 9.674418604651162 33.0 78.0 4.0 41.0 4700.0 
267.0122884719142 9.674418604651162 33.0 79.0 4.0 41.0 4700.0 
270.0025344345283 9.674418604651162 34.0 79.0 4.0 41.0 4700.0 
273.00868103213134 9.704545454545455 32.0 80.0 5.0 42.0 4824.0 
276.0095681694925 9.704545454545455 34.0 82.0 5.0 42.0 4824.0 
279.01326281008926 9.711111111111112 35.0 82.0 5.0 43.0 4927.0 
282.0013485782807 9.711111111111112 35.0 84.0 5.0 43.0 4927.0 
285.00317895139375 9.72340425531915 37.0 85.0 5.0 45.0 5134.0 
288.00723792406325 9.75 34.0 85.0 5.0 46.0 5237.0 
291.00784413117805 9.755102040816327 34.0 86.0 5.0 47.0 5344.0 
294.00057190012893 9.755102040816327 34.0 86.0 5.0 47.0 5344.0 
297.01519892501005 9.760000000000002 33.0 86.0 5.0 48.0 5447.0 
300.0007180917234 9.760000000000002 33.0 87.0 5.0 48.0 5447.0 
303.00318750787164 9.760000000000002 34.0 87.0 5.0 48.0 5447.0 
306.0042841830983 9.76923076923077 32.0 87.0 5.0 50.0 5653.0 
309.0054476909868 9.76923076923077 32.0 87.0 5.0 50.0 5653.0 
312.00027750247693 10.142857142857142 26.0 88.0 5.0 56.0 6335.0 
315.0110429412392 10.321428571428571 26.0 88.0 5.0 57.0 6439.0 
318.0177311474111 10.321428571428571 26.0 88.0 5.0 57.0 6439.0 
321.0032709414536 10.321428571428571 28.0 90.0 5.0 57.0 6439.0 
324.00067605979643 10.5 28.0 90.0 5.0 58.0 6540.0 
