#####################################################################
# Alchemist log file - simulation started at: 2020-01-21T11:26+0000 #
#####################################################################
# seed = 28.0, taskFrequency = 0.04217, cloudcost = 17.0, algorithm = false
#
# The columns have the following meaning: 
# time taskHops[Mean] hasTask[Sum] tasks[Sum] completedTasks[Sum] giveupTasks[Sum] taskLatency[Sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0 
2.0152649607068973 NaN 4.0 6.0 0.0 0.0 0.0 
4.015264960706897 NaN 12.0 16.0 0.0 0.0 0.0 
6.014234296501879 NaN 24.0 28.0 0.0 0.0 0.0 
8.015264960706897 NaN 33.0 36.0 0.0 0.0 0.0 
10.01010411548716 NaN 42.0 42.0 0.0 0.0 0.0 
12.015264960706897 NaN 45.0 45.0 0.0 0.0 0.0 
14.015264960706897 NaN 51.0 52.0 0.0 0.0 0.0 
16.015264960706897 NaN 53.0 56.0 0.0 0.0 0.0 
18.015264960706897 NaN 59.0 60.0 0.0 0.0 0.0 
20.015264960706897 NaN 68.0 68.0 0.0 0.0 0.0 
22.015264960706897 NaN 74.0 75.0 0.0 0.0 0.0 
24.015264960706897 NaN 75.0 75.0 0.0 0.0 0.0 
26.015264960706897 NaN 78.0 79.0 0.0 0.0 0.0 
28.015264960706897 NaN 81.0 81.0 0.0 0.0 0.0 
30.015264960706897 NaN 86.0 87.0 0.0 0.0 0.0 
32.0152649607069 NaN 90.0 90.0 0.0 0.0 0.0 
34.0152649607069 NaN 91.0 92.0 0.0 0.0 0.0 
36.0152649607069 NaN 96.0 96.0 0.0 0.0 0.0 
38.0152649607069 NaN 98.0 99.0 0.0 0.0 0.0 
40.0152649607069 NaN 99.0 101.0 0.0 0.0 0.0 
42.0152649607069 NaN 101.0 102.0 0.0 0.0 0.0 
44.0152649607069 NaN 103.0 104.0 0.0 0.0 0.0 
46.0152649607069 NaN 104.0 104.0 0.0 0.0 0.0 
48.0152649607069 NaN 104.0 106.0 0.0 0.0 0.0 
50.0152649607069 NaN 107.0 107.0 0.0 0.0 0.0 
52.0152649607069 NaN 107.0 107.0 0.0 0.0 0.0 
54.0152649607069 NaN 108.0 108.0 0.0 0.0 0.0 
56.0152649607069 NaN 109.0 109.0 0.0 0.0 0.0 
58.01235253291125 NaN 109.0 109.0 0.0 0.0 0.0 
60.0152649607069 NaN 110.0 110.0 0.0 0.0 0.0 
62.0152649607069 NaN 111.0 111.0 0.0 0.0 0.0 
64.0152649607069 NaN 113.0 113.0 0.0 0.0 0.0 
66.0152649607069 NaN 113.0 113.0 0.0 0.0 0.0 
68.0152649607069 NaN 113.0 113.0 0.0 0.0 0.0 
70.00975012257207 NaN 113.0 113.0 0.0 0.0 0.0 
72.0152649607069 NaN 113.0 114.0 0.0 0.0 0.0 
74.0152649607069 NaN 115.0 115.0 0.0 0.0 0.0 
76.0152649607069 NaN 117.0 117.0 0.0 0.0 0.0 
78.0152649607069 NaN 117.0 118.0 0.0 0.0 0.0 
80.0152649607069 NaN 118.0 118.0 0.0 0.0 0.0 
82.0152649607069 NaN 118.0 118.0 0.0 0.0 0.0 
84.0152649607069 NaN 119.0 119.0 0.0 0.0 0.0 
86.0152649607069 NaN 120.0 120.0 0.0 0.0 0.0 
88.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
90.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
92.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
94.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
96.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
98.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
100.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
102.0152649607069 NaN 121.0 121.0 0.0 0.0 0.0 
104.0152649607069 17.0 121.0 122.0 0.0 3.0 307.0 
106.0152649607069 17.0 117.0 122.0 0.0 8.0 820.0 
108.0130288226075 17.047619047619047 109.0 123.0 0.0 21.0 2158.0 
110.0152649607069 17.035714285714285 98.0 123.0 0.0 28.0 2877.0 
112.0152649607069 17.026315789473685 92.0 125.0 0.0 38.0 3906.0 
114.0121667514767 17.024390243902438 86.0 125.0 0.0 41.0 4213.0 
116.0152649607069 17.02127659574468 81.0 125.0 0.0 47.0 4827.0 
118.0152649607069 17.02 79.0 128.0 0.0 50.0 5146.0 
120.0152649607069 17.01818181818182 74.0 128.0 0.0 55.0 5660.0 
122.0152649607069 17.015625 71.0 132.0 0.0 64.0 6590.0 
124.0152649607069 17.014084507042252 68.0 134.0 0.0 71.0 7327.0 
126.0152649607069 17.01388888888889 62.0 135.0 0.0 72.0 7430.0 
128.0152649607069 17.013333333333332 64.0 138.0 0.0 75.0 7738.0 
130.0152649607069 17.012820512820515 61.0 138.0 0.0 78.0 8069.0 
132.0152649607069 17.012048192771083 59.0 140.0 0.0 83.0 8582.0 
134.0152649607069 17.011494252873565 56.0 142.0 0.0 87.0 8992.0 
136.0152649607069 17.011363636363637 55.0 143.0 1.0 88.0 9107.0 
138.0152649607069 17.010752688172044 54.0 146.0 1.0 93.0 9620.0 
140.0152649607069 17.010526315789473 56.0 150.0 1.0 95.0 9825.0 
142.0152649607069 17.010416666666668 53.0 150.0 1.0 96.0 9928.0 
144.0152649607069 17.010309278350515 56.0 154.0 1.0 97.0 10031.0 
146.0152649607069 17.010204081632654 59.0 159.0 1.0 98.0 10133.0 
148.0152649607069 17.01010101010101 62.0 162.0 1.0 99.0 10236.0 
150.0152649607069 17.01010101010101 66.0 167.0 1.0 99.0 10236.0 
152.0152649607069 17.00990099009901 67.0 168.0 1.0 101.0 10442.0 
154.0152649607069 17.00990099009901 67.0 169.0 1.0 101.0 10442.0 
156.0152649607069 17.00980392156863 69.0 174.0 1.0 102.0 10545.0 
158.0152649607069 17.009708737864077 72.0 176.0 1.0 103.0 10647.0 
160.0152649607069 17.009708737864077 72.0 178.0 1.0 103.0 10647.0 
162.0152649607069 17.009708737864077 76.0 181.0 1.0 103.0 10647.0 
164.0152649607069 17.009615384615383 78.0 183.0 1.0 104.0 10749.0 
166.0152649607069 17.00943396226415 79.0 185.0 1.0 106.0 10955.0 
168.0152649607069 17.00943396226415 83.0 192.0 1.0 106.0 10955.0 
170.0152649607069 17.00943396226415 86.0 193.0 1.0 106.0 10955.0 
172.0152649607069 17.00943396226415 88.0 195.0 1.0 106.0 10955.0 
174.0152649607069 17.00943396226415 89.0 197.0 1.0 106.0 10955.0 
176.0101824823126 17.00925925925926 89.0 198.0 1.0 108.0 11161.0 
178.0152649607069 17.009090909090908 89.0 198.0 1.0 110.0 11365.0 
180.0152649607069 17.009090909090908 90.0 201.0 1.0 110.0 11365.0 
182.0152649607069 17.00900900900901 90.0 202.0 1.0 111.0 11468.0 
184.0152649607069 17.00900900900901 91.0 205.0 1.0 111.0 11468.0 
186.0152649607069 17.008928571428573 94.0 207.0 1.0 112.0 11570.0 
188.0152649607069 17.008849557522122 95.0 208.0 1.0 113.0 11673.0 
190.010673098869 17.00877192982456 98.0 214.0 1.0 114.0 11776.0 
192.0152649607069 17.00877192982456 100.0 216.0 1.0 114.0 11776.0 
194.0152649607069 17.00877192982456 104.0 219.0 1.0 114.0 11776.0 
196.0152649607069 17.00877192982456 105.0 220.0 1.0 114.0 11776.0 
198.0152649607069 17.00877192982456 105.0 220.0 1.0 114.0 11776.0 
200.0152649607069 17.00877192982456 106.0 222.0 1.0 114.0 11776.0 
202.0152649607069 17.00877192982456 108.0 223.0 1.0 114.0 11776.0 
204.0152649607069 17.00877192982456 108.0 223.0 1.0 114.0 11776.0 
206.0152649607069 17.00877192982456 109.0 224.0 1.0 114.0 11776.0 
208.0152649607069 17.008695652173913 108.0 224.0 1.0 115.0 11879.0 
210.0152649607069 17.00862068965517 108.0 224.0 1.0 116.0 11981.0 
212.0152649607069 17.00862068965517 108.0 225.0 1.0 116.0 11981.0 
214.0152649607069 17.008474576271187 108.0 225.0 1.0 118.0 12186.0 
216.0152649607069 17.008474576271187 107.0 226.0 1.0 118.0 12186.0 
218.0152649607069 17.008474576271187 108.0 228.0 1.0 118.0 12186.0 
220.0152649607069 17.440677966101696 109.0 228.0 1.0 121.0 12495.0 
222.0152649607069 17.440677966101696 106.0 228.0 1.0 121.0 12495.0 
224.0152649607069 17.872881355932204 106.0 228.0 1.0 124.0 12803.0 
226.0152649607069 18.161016949152543 103.0 230.0 1.0 126.0 13008.0 
228.0152649607069 18.161016949152543 104.0 232.0 1.0 126.0 13008.0 
230.0152649607069 18.593220338983052 104.0 232.0 1.0 129.0 13317.0 
232.01251687469895 18.73728813559322 102.0 233.0 1.0 130.0 13420.0 
